DIVISI,Blok,BLOK_B,T_TANAM,N_BARIS,N_POKOK,OBJECTID,NDRE125,KlassNDRE12025,Ket
AME II,D01,D001A,2009,1,1,167903,0.386189026,Stres Berat,Pokok Utama
AME II,D01,D001A,2009,1,2,167913,0.423064375,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,3,167935,0.459512596,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,4,167951,0.421125016,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,5,167953,0.428639805,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,6,167966,0.41290828,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,7,167974,0.413922111,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,8,167978,0.411384443,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,9,167979,0.441453712,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,10,167992,0.473395387,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,11,168019,0.422901823,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,12,168007,0.449509463,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,13,168006,0.406110115,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,14,168025,0.439446607,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,15,168034,0.433504659,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,16,168046,0.442732814,Stres Sedang,Pokok Utama
AME II,D01,D001A,2009,1,17,168059,0.430167366,Stres Sedang,Pokok Utama